Name,Date,Location,Stars,Subject,Comment,Response,Title
Richa V,4 July 2015,"
Pilibhit, India
",5,"""amazing!!!! property""","
the location of resort is awesome .our experience of staying in this hotel is excellent every staff of the resort was very polite and gentle .we enjoyed a lot here . food quality is very good .river view rooms are the first choice
",,"
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
AbhiJais,25 June 2015,"
Lucknow
",4,Awesome stay,"
The place is located slightly away from the main road. But its location is what makes a difference to the place. On one side you get a nice view of the mountains and on the other side you have a river flowing, the sound of which is very calming. One has the option of going down to the river during...
",,"
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
Prashant M,25 June 2015,"
",2,GOOD PROPERTY BUT EGOISTIC HUMAN RESOURCE,"
i booked 10 rooms of the sanctury dharamshala for my college staff annual trip. I with my family checked in one day earlier. On checking in i asked the avaialbility for 2nd room as my cousin and my child could sleep there comfortably. To my astonishment room was available but they were not ready (there was not house keeping person...
","
Dear Sir,
Namaste!
We appreciate your taking the time to share your review of Dharamshala - The Sanctuary.
We sincerely apologize for not being able to deliver a pleasant and satisfying holiday experience to you and your friends. We do acknowledge that we have to adhere to certain protocols in the interests of all our members and guests staying at...
","
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
Kimberley W,24 June 2015,"
",3,Relaxing!!,"
My partner and I stayed here for 4 nights. We enjoyed our time here. I recommend staying with river view as the rushing waters are very soothing with a great view.
The food in the restaurant was delightful and enjoyed room services. Only 15 minutes drive to Dharamshala town. Good prices with great service. The rooms were clean with a...
",,"
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
MyScreen30,19 June 2015,"
Gurgaon, India
",4,Nice and Serene place-Enjoyed the stay!!,"
Slightly away but not far away from Dharamshala. Clean rooms with friendly and hospitable staff. We were three families travelling together with small kids and kids felt at home and comfortable. If you are looking for a peaceful stay away from hustle and bustle of the town then this is a good place. Good view from the rooms and evenings...
",,"
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
RCBKSC,18 June 2015,"
Noida, India
",4,"Nice place...good food, good staff","
Much better place to stay. Far superior than some of the reviews here. Peaceful location, a little away from the main road though. Tasty food albeit limited menu options for and slightly costly. Buffet was nice though. Staff members were courteous and helpful. They have developed underground parking into activity area, result of few reviews here I guess...:)
Overall, we...
",,"
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
RamadaAmritsar,13 June 2015,"
Ahmedabad, India
",4,Dharmasala HP,"
we have enjoyed vacation ,stayed at Sterling Resort from 02-06-2015 to 7-06-2015, 5 nights, staff is very cooperative, food at restaurant is very tasty...chef and captain of restaurant is too good by nature...the In charge of Indoor activities is very cooperative, young and energetic,Spa is there but the head of staff is not there who have thorough knowledge and experience...
",,"
Dharamshala - The Sanctuary, A Sterling Holidays Resort
"
pasupathi,1 July 2015,"
chennai
",4,sterling gangtok,"
We were in july 10th - 15th, even though the property is small and not like a resort the location is almost very close to MG Marg which is the most happening street of Gangtok. Food was good. I was also priced less expensive on the buffet spread.
Staff were very attentive, helpful. You can take a stay comfortably...
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
Amleisure,30 June 2015,"
Mumbai, India
",4,sterling gangtok,"
Hi I with my family went from 26 th may to 30 th matin this hotel it's very nice and a cute hotel rooms r not too big but r very well furnished and equipped of all rather than other hotels and the best part it's just 5 mins from main market at mall road and from Naya market u...
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
kishore p,23 June 2015,"
Mumbai, India
",3,A nice boutique hotel,"
It is centrally located but it does not have amenities of resort .courteous staff good food but limited variety .the travel desk is good .The rooms are for couple so for a family one have to book two rooms
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
velaj,24 May 2015,"
bombay
",3,Centrally located but not a resort,"
i have been to sterling at many places. normally sterling is a large property with beautiful view. however gangtok is a very small property with the only view being of bus depot.
had a tough time checking in with a very unwelcoming and rude front desk staff. untill the property manager mr roy intervened. mr roy tried to give us...
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
KumarGa,13 May 2015,"
New Delhi, India
",5,Small hotel with limited choice,"
Beautiful small boutique hotel with neat and clean rooms having nice iterior. One of the best in its category. The hotel is having all modern amenities along with elevators. Overall an amazing experience to stay there while in Gangtok.
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
TonsOfFun13,10 May 2015,"
Bangalore, Karnataka, India
",5,Beautiful small boutique hotel with neat and clean rooms having nice iterior.,"
The location of the hotel makes it an easy 10 min stroll to MG Marg. Walking around in Gangtok is very pleasant as there are pathways provided beside the roads. You can also get a view of the Kanchenjunga from the rooms located at the far end of the corridors. On the one occasion we ordered food at the hotel...
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
shrey20152015,29 April 2015,"
Mumbai, India
",4,Level of service was excellent,"
the hotel is about 7-8 mins walk from MG road...has lots of restaurants nearby.
Rooms were nice & spacious...washrooms were nice & squeaky clean.Food was good & tasty. Staff were nice. It was an enjoyable stay.
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
Shan1473,15 April 2015,"
",5,Good rooms good location,"
Was here for 3 Nights and it was indeed pleasant, Comfortable and Memorable.
The rooms are spacious, neat and offer you all what you need and not to forget all due very neat, attentive and cooperative staff.
Good Choice in breakfast with a good quantity and taste.The main course is good but we found the quantity to be be less...
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
mountainer2015,5 April 2015,"
Darjeeling, India
",5,Comfortable Stay,"
The hotel is located nearby Mall Road.The South Indian and Chinese food is excellent,the staff are very courteous and service is excellent.The staffs are very helpful and polite.You will feel homely stay at the Resort.I stay at least one or two day in a month.The rooms are clean and well maintained.Only geyser size is small.Otherwise everything is good.Good hotel,excellent location...
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
AJIT A,2 April 2015,"
",5,Excellent Hotel..Nice Location,"
Excellent Location, Food, Service and Room, staff was caring and courteous would surely visit again.
Thanx To entire team of Sterling for making our trip memorable. On our request we have been upgraded to suite with lovely view.
",,"
Gangtok - Delisso Abode, A Sterling Holidays Resort
"
KShashi,4 August 2015,"
Bengaluru (Bangalore), India
",3,"Budget, practical hotel in a good location for a Goa tourist","
The hotel is located not very far from Panjim.
About the hotel : Rooms are functional, small but sufficient. A/C was powerful. Beds & mattress clean.
Getting around : Hotel can arrange transport or also organize rental/self-drive cars. If staying for long, getting a self-driven car is a good choice
Around : The hotel is 30km from the airport. You...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
Shwetaab,4 August 2015,"
Gurgaon
",4,Great experience ,"
Resort is beautiful and staff is very courteous.
Stay was very comfortable.
We had breakfast and it was delicious too. Overall good experience..
Google map does not give correct location so better to follow sign boards or call up hotel and get assistance..
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
Aakash07,31 July 2015,"
Bengaluru (Bangalore), India
",4,Great Experience,"
I,along with a few of my friends stayed at Club Estadia for 3 nights. The employees there are very sincere and hard working. They constantly attempted to make our stay there as pleasant as possible. The Director there was very helpful as well. He was very keen on making our stay comfortable. The only problem we had was with the...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
Sumeru D,27 July 2015,"
",4,Club estadia sterling holidays resort..,"
One of the best hotels in goa.Just 3 kms from panji.its located at heart of city that is in between north goa and south goa. Service is also good. Rooms are also neat and well clened.Enjoyed a lot during stay. The staff is helping natured and cooperative .Only the hotel location is far from main street about 1.2 kms and...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
Sofia_habib,26 July 2015,"
",2,Disappointed!!,"
We stayed here for 3N/4D on a 5 day trip to Goa. There were a number of points where we were of disappointed.
- Rooms: the rooms that are provided for the members were very small and the furnitures were old. It was entirely not maintained properly.
-Bathroom: No ventilation, which is a basic requirement in any room.
- Housekeeping:...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
d_satyen,26 July 2015,"
Mumbai, India
",4,Good experience,"
This is overall good resort having excellent ambience. Particularly Swimming pool is good with regulated temperature. But there is no / weak mobile network range inside room. No Wi-Fi available inside room and charging for internet . Hotel location is far from the main street indirectly compelling you to have food from the hotel. Food is very good with variety...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
chanpreet_jack,8 July 2015,"
Ludhiana, India
",5,Mind blowing!! ,"
Honesty first.. I didn't pay for the stay there..
I got free holiday coupon for two nights so went there without any great expectations.. But I was stumped by how beautiful this resort is... I mean... Everything was just perfect about this place... Rooms ambience and staff.. Ali the manager I guess.. And navas and sushant at the restaurant.. To...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
saurav_saha,30 June 2015,"
mumbai
",2,Pathetic Experience,"
- Inefficient Staff
- Opportunistic Behaviour
- Bad quality rooms with cockroaches and insects
- Not properly maintained
- very few rooms properly maintained which they don't give to members or guests- they sell these rooms through travel agents
- The resort manager tried to hide when faced with problems
- No fun activities at Resort - they use the...
","
Dear Sir/Ma'am,
Namaste!
We appreciate your taking the time to share your review of Goa - Club Estadia.
We apologize for not being able to deliver a pleasant holiday experience to you and your family. We are regretful to learn that lack of maintenance and activities kept us from doing our best. We are also deeply concerned to note the...
","
Goa - Club Estadia, A Sterling Holidays Resort
"
amitsupp5678,27 June 2015,"
",5,It was a wonderful experience,"
The stay at sterling goa club estadia was very comfortable. Which they allot the room was neat and clean and the food and the view was excellent however room service was a bit slow. Special thanks to Mr.Navas & Ali who went out of the way to ensure that our stay was comfortable and made us feel at home. Overall...
",,"
Goa - Club Estadia, A Sterling Holidays Resort
"
sudeepinfo,26 June 2015,"
Mumbai, India
",3,Do not spoil your vacation !!!!!!,"
The resort is badly maintained. The house keeping is blow average. The restaurant has very less variety of food spread . Worst they hardly have any Goan recipe.Location wise the resort is centrally located . The charges for games are over Rs 100 for few minutes . Even small children are not spared. Car ride is Rs 100 for five...
","
Dear Sir,
Namaste!
We appreciate your taking the time to share your review of Goa - Club Estadia.
Please accept our apologies for not being able to live up to your expectations from Sterling Holidays. We are deeply concerned that we could not deliver on the standards of hospitality that we aim for. We are regretful to learn that maintenance,...
","
Goa - Club Estadia, A Sterling Holidays Resort
"
akashmhatre,30 July 2015,"
Mumbai (Bombay), India
",5,Vakue for Money hotel and The good food,"
The rooms are quite spacious. The staff is very courteous and polite.
the best thing of the hotel is its restaurant. they serve a very good and tasty food.
only issue is there is no WiFi connectivity in the rooms.
But still its a good value for Money hotel.
",,"
Daman-Casa Tesoro
"
Devendra P,30 July 2015,"
Panvel, India
",3,t's a newly opened resort so rooms are not in excellent condition,"
Staff here was very courteous, friendly, helpful, As the property location is in mid town we did""nt have that getaway experience, Anyway our stay was was very comforting relaxed, Our eaperience with Sterling was for the first time, I hope they make our experience more better with every stay
",,"
Daman-Casa Tesoro
"
manish59,27 July 2015,"
Vadodara, India
",2,Bad Location,"
Hotel is in city so we feel we r in bussiness type hotel & not resort,
20% discount to members should not be limited to resurtant but also to room service
Pool shold be covered as it is being overlooked by high rises apt , next to hotel
",,"
Daman-Casa Tesoro
"
amitcparekh,26 July 2015,"
Mumbai, India
",4,Wonderful service and great hospitality..,"
It's a newly opened resort so rooms are in excellent conditions.. Staff is very friendly and helpful.. Mr. Anirban and Mr. Sachin made sure everything was perfect.. Food is very good and tasty. Only thing missing was variety of food, very less option..
Overall had a wonderful experience and would recommend everyone to stay here..
",,"
Daman-Casa Tesoro
"
easycomm,24 July 2015,"
Surat, Gujarat, India
",5,A pleasant Short trip to Daman,"
A very pleasant experience, though the property is almost in midtown location we found it to be very comforting and peaceful, The staff is very courteous and the upkeep of the hotel is very good. Our experience with Sterling is getting better with every trip we go through them.I enrolled with Sterling in 1985 but we have started using the...
",,"
Daman-Casa Tesoro
"
Piyush_Thane,20 July 2015,"
Thane, India
",4,"Excellent rooms, beautiful interiors.","
The rooms are newly renovated and hence in excellent condition, you will not miss anything, with microwave oven, electric kettle, sink, large bathroom, it's a perfect stay for lazy weekend, one can relax in the swimming pool, some activities in the evening too.. overall nice experience.
",,"
Daman-Casa Tesoro
"
Bhavik K,19 July 2015,"
",4,Excellent service with a very pleasant stay !!,"
The top end room with living area was superb , new furniture, very spacious and steal deal if you are a Sterling member. The hotel is in nani Daman away only 6 km from all the top attractions n beaches....
The hotel restaurant has really delicious food....the main chef Ajay and the manager Sachin took great care in terms of...
",,"
Daman-Casa Tesoro
"
AnilSahija,18 July 2015,"
Ahmedabad, India
",5,Truly Awesome experiance with family n specially with a small Kid,"
I must say undoubtedly, service of the staff is super duper excellent. Had fantastic time with my wife n small kid. Resort staff took very good care for my child. Everything was customized as per the requirement of visitors. From check in till check out, we dint feel any boredom in property. Swimming pool specially baby pool was very enjoyable...
",,"
Daman-Casa Tesoro
"
manish_pimple,17 July 2015,"
Mumbai, India
",4,"Great Hospitality, Rooms and house keeping were excellent.Good ambiance and cherished the food taste with quality.","
Great amenities, Rooms and house keeping were excellent. I wished the property was bigger and bit away from main city. And had more outdoor facilities.
Yet me and my family had a memorable time as per expectations..
",,"
Daman-Casa Tesoro
"
PSamir,16 July 2015,"
Mumbai, India
",4,Good Experience,"
Have visited recently with my friends, through Sterling. It was a plesent experience, staff and Services was good and staff was very helpful. Need to improve on Food quality. Over all it was good experience.
",,"
Daman-Casa Tesoro
"
Shwetaab,4 August 2015,"
Gurgaon
",4,Beautiful resort,"
Beautiful resort and it offered comfortable stay. Rooms are big and nice. Swimming pool is also nice and clean.
Restaurant looked nice too.. although we did not have proper meals there but whatever we ate was good..
Betalbattam beach is at a walking distance.
Overall a good experience.. 
",,"
Goa - Villagio, A Sterling Holidays Resort
"
sriram739,3 August 2015,"
Mumbai, India
",5,Worth the visit,"
Enjoyed our stay, the hospitality, quality of rooms and food. Excellent recreation facilities and value the money.
Staff was very well trained and knew their job well.
Only constraint it does not have lift facility, so if you travel with elderly insists on rooms in the lower floors. Preferable to have your own cab/travel arrangement because taxis outside are not...
",,"
Goa - Villagio, A Sterling Holidays Resort
"
DeepeshShah2015,30 July 2015,"
Jabalpur, India
",5,Feedback,"
Hello,
We are pleased to inform you that we stayed in your resort at the below dates,
however found it very pleasant specially the below listed staff, they are found to
be very mannered and helpful, however with these people my trip to GOA turned to a
special memory.
Neelu, Sulakshna and Shashank from front desk, Clandon and Captain from...
",,"
Goa - Villagio, A Sterling Holidays Resort
"
Arvind K,12 July 2015,"
Navi Mumbai, India
",3,Excellent staff in an ordinary place,"
Our trip to the rest started in the middle of the week, in the middle of the rainy season. This should clearly be off-season but more on this a bit later.
The arrival and checking in was a breeze. There was help available to get all our baggage (there were eight of us) to the rooms we had. The property...
",,"
Goa - Villagio, A Sterling Holidays Resort
"
Tapan-Patel,26 June 2015,"
Mumbai, India
",3,Goa- Villagio - Can't complain,"
Its a value for money resort, you get what you pay. Don't expect anything fancy here, but whatever the basics are, they are good. Nice size rooms, nothing fancy though, good and very well maintained pool, courteous service, must comment that the staff are very warm and very good spa. A massage at their Spa is a must and quite...
",,"
Goa - Villagio, A Sterling Holidays Resort
"
hegdearkal,28 May 2015,"
Mangalore, India
",5,you will get what you want for your money,"
This property has fully air conditioned star hotel grade rooms with very good ambiance. Every room has bottled free drinking water, facility to make coffee/tea. There is a swimming pool and recreational areas. Open area has large TV. Restaurant has one of the best food in town. We paid Rs.650+ taxes per day per person for one buffet dinner and...
",,"
Goa - Villagio, A Sterling Holidays Resort
"
Dinesh V,28 May 2015,"
",4,Tour to goa,"
The resort is good but location is not very ideal. As i am member of the streling i m stay with my family from 23rd to25may 15.
Resort has sweeming pool activity room and kids game room.
Restaurant staf is to short . Food is average but morning breakfast is very good. Checkin process is little slow.
Suggest for taking...
",,"
Goa - Villagio, A Sterling Holidays Resort
"
Veerappan P,28 May 2015,"
",4,Goa- Villagio - Good Stay,"
This is a very late review - we visited in July 2014. Nevertheless.The rooms and the services were very good. The guy at travel desk was also very helpful. Everybody from the bell boy to the receptionist were courteous, and our stay was good. The food was expensive but was good. And when our kid started crying at 02:00 in...
",,"
Goa - Villagio, A Sterling Holidays Resort
"
SAP052015,28 May 2015,"
Karwar, India
",5,A WELCOME GETAWAY : A HOME AWAY FROM HOME,"
Excellent location, beautiful surroundings, Courteous staff and clean and well maintained suites and rooms extend a warm welcome to every holiday seeker in Sterling Villagio. Sumptuous and tasty food, well maintained swimming pool, poolside bar and activity center are the added attractions. A very big thank you to Mr Bhaskar, Ms Saswathi and their entire team at Villagio for making...
",,"
Goa - Villagio, A Sterling Holidays Resort
"
Hussainpirani,27 May 2015,"
",5,Goa - Villagio - A great place to stay in South Goa.,"
A very good location in South Goa. Perfect place for a holiday where you can relax and be away from the city noise. Polite Staff. Great rooms and great room service. I was out so did not get a chance for Lunch or Dinner. Had breakfast at the hotel and found the spread to be good but can be improved....
",,"
Goa - Villagio, A Sterling Holidays Resort
"
Neeraj-sharm,4 August 2015,"
",4,Great time,"
Hotel is far from corbett but it is a advantage also way creats a different ride of jungle, we enjoyed the way of hotel from Corbet, Hotel Staff is very Nice & Co- oprative,Mr. Bharav & Ms Lalita was very nice,Food quality is good,but it is very expencice,
",,"
Corbett - Treetop Riverview
"
ujala_chandani,29 July 2015,"
Noida, India
",3,Nice Location..Go Green :),"
Resort was average,location was awesome..Staff is humble and but room service not available.Clean resort with maintained garden but rooms are average.Food quality is not so good.
Place is calm and quite..nearby river and crocodile lake is there and nearby walk to the village can be good if looking for tea and snacks.
",,"
Corbett - Treetop Riverview
"
Balbir13,27 July 2015,"
New Delhi, India
",5,Beautiful place to relax near river & mountains,"
Accommodation is very good, location is nice ,staff is very helpful .Mr Pandey Manager is very co-operative & nice person. Restaurant is very good Food you can have to your taste.Staff in general very good.
",,"
Corbett - Treetop Riverview
"
UKS1955,20 July 2015,"
",5,Very nice place to relax,"
Good Points:Beautiful location and very comfortable accomodation.Staff is very helpful and friendly.Manager Mr.Pandey is a very helpful person. Restraunt has a beautiful view of the river and mountains.Chef cooks whatever you like to eat. Mr Narender, Varender and Ms khushnuma are very prompt and provide good service. Housekeeping is good as well, maintained by Lokesh . Front office staff is...
",,"
Corbett - Treetop Riverview
"
Jatin G,19 July 2015,"
Patiala, India
",5,Best Economic Resort,"
We were 7 guy friends and wanted to celebrate our graduation and this place did not disappoint us. Food was cheap, rooms and view was very nice. We stayed here for 3 days and did not move out of resort even for a day as it had everything inside except bar.
",,"
Corbett - Treetop Riverview
"
Jitin_Rajput,17 July 2015,"
Noida, India
",2,View is great but hotel is not...,"
Hotel location was very good but hotel quality specially room interior was poor. Also hotel service was not good. You should prefer Solluna Resort or Ramganga if you want to go to Marchula location...
","
Dear Sir,
Namaste!
Thank you for choosing to holiday with us at Corbett - Treetop Riverview. We appreciate your taking the time to share your review of our resort.
We apologize for letting you down with our room and service during your stay at our resort. We have shared your feedback regarding these issues with the Resort Management team at...
","
Corbett - Treetop Riverview
"
Anindya2006,14 July 2015,"
New Delhi, India
",4,Awesome place to spend a few relaxing and lazy days,"
We stayed for 3 nights from 10th July 2015 and had a memorable experience. Since the national park is closed due to the monsoon, we didn't have much option other than staying full time at the resort but we enjoyed our stay so much that not a moment of boredom. Rooms are good and spacious, clean and well maintained, clean...
",,"
Corbett - Treetop Riverview
"
shahlot,11 July 2015,"
Kanpur, India
",4,nice place overlooking the river,"
Small but well located resort , away from the main ramnagar gives advantage of both jungle and hill station and has a river right across and in the valley surrounded by mountains and greenery and gets more beautiful during rainy season
",,"
Corbett - Treetop Riverview
"
GDG10,30 June 2015,"
",3,Nice place but very far inside Corbett,"
We stayed at the resort for 4 nights from May 27, 2015. The hotel is virtually 45 minutes drive from any facility, hence you are stuck with what ever is available. We were misguided on booking and told specifically that the resort was 15 minutes drive from Ramnagar.
Cleanliness is very average including linen and the dining room, the food...
","
Dear Sir/Ma'am,
Namaste!
We appreciate your taking the time to share your review of Corbett - Treetop Riverview.
We apologize for not being able to deliver a pleasant holiday experience to you and your family. Our resort is purposely located away from the main city to give our guests a peaceful time; however we are most regretful that this caused...
","
Corbett - Treetop Riverview
"
SrikanthBhandari,30 June 2015,"
Bangalore, Karnataka, India
",4,Great view & well managed resort,"
Good resort in the jungle interior & well managed with good rooms & all amenities. Good & courteous staff. Real holiday with almost zero mobile signal. Good food & excellent climate. Would love visiting again & again.
",,"
Corbett - Treetop Riverview
"
Twinkleteea,4 August 2015,"
",2,Below expectations,"
Location is far from mall. Not meant for all ages of people . place need renovation urgently. Staff is good and view is also nice. Rates are nominal still they can work on packages. Good place from r pics. Stairs take lot of energy.
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
nurullah n,2 August 2015,"
Bangladesh
",5,official tour,"
we stay in sterling resort for 8 days,its a official tour for mid career training from Bangladesh,location of hotel so nice,all services provided by hotel is okay and standard also,food and room service is so good.we are grateful and sp thanks to sterling team....
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
tana t,2 August 2015,"
Arunachal Pradesh, India
",5,FAMILY STAY,"
I stayed with my family at sterling Resort Mussoorie. It was one of the best stay i have ever seen. Room allotted to me was really very good with nice view. Staff service was really excellent. Nice food in the Restaurant ...I would mention one name Mr. Praveen in front office really nice chap very helpful. Thanks to him....Wish to...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Dr_AtulSharma,1 August 2015,"
New Delhi, India
",3,"""Good resort but a bit toooooooooo far""","
I was offered a stay coupon in any sterling resort in their promotional event. I chose Mussoorie Resort as it was nearest to my place.
We reached hotel amid rain and road from down town Mussoorie to resort looked unending . Staff at helpdesk were very helpful and completed the check-in process rather quickly. We were two couples and were...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Arunash,31 July 2015,"
",4,wonder full experience,"
I have visited Mussoorie many times but this was an good experience along with my wife and two kids.The resort is a bit on the out side of town but was easily reachable,we were allotted a studio room which was a bit far from the main structure but the room was upto my expectations,with all the necessary amenities and the...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Ashutosh G,28 July 2015,"
Patiala, India
",5,Extremely satisfied with my holidays in Sterling Resort Mussoorie,"
Excellent stay. First time avail Sterling holidays and it was Great experience. Very healthy atmosphere.. Feel like a Home...Very personal attention of every staff . Warm welcome by Mr. Mukesh in Reception. Little bit i am unhappy because property is in under renovation but staff is very hospitable. There is some problem with mobile networks..View is very nice from the...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Anil S,25 July 2015,"
Jammu and Kashmir, India
",5,NICE STAY AT STERLING MUSSOORIE,"
I came here for business meeting stay here for 3 days , i came sterling for the first time , it is very snjoyeble and i visited the places near by it ,it was great fun , enjoyeble evening entertainment was there it was vry nice ,,my specially thanks Mr Alok and Som .
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Geeta B,22 July 2015,"
Bengaluru (Bangalore), India
",5,Family trip to Mussoorie,"
The experience was exceptional. The staff, rooms ans the overall experience. The food was good. The staff were courteous , frienly and helpful. Special mention has to be made with reference to Mr. Alok. He wad very helpful in arranging our travel requirements. We appreciate the personal touch in his handling of our requirements.
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
Tushar K,19 July 2015,"
",5,Nice and comfortable,"
I am with my family at sterling resort mussourrie first time really enjoyed stay a lot. Nice people at the resort and very hospitable excellent services provided to my family. Thanks to mr alok the dj man and som to make our holiday memorable....wish to come again here with sterling holidays...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
narender k,19 July 2015,"
Amritsar, India
",5,FAMILY HOLIDAY,"
This time i have seen lot of changes in sterling resort mussoorie, people are really good we enjoyed it a lot. Thanks to all sterling team member mussoorie. Rooms are really nice & service of staff is excellent. Food is excellent & nice view from the restaurant. Thanks a lot to all sterling team to make us comfortable here. Special...
",,"
Mussoorie - Pine Hill, A Sterling Holidays Resort
"
