Review,Pos/Neg,Correlation
"
Have visited recently with my friends, through Sterling. It was a plesent experience, staff and Services was good and staff was very helpful. Need to improve on Food quality. Over all it was good experience.
",neg,1.0
"
Beautiful resort and it offered comfortable stay. Rooms are big and nice. Swimming pool is also nice and clean.
Restaurant looked nice too.. although we did not have proper meals there but whatever we ate was good..
Betalbattam beach is at a walking distance.
Overall a good experience.. 
",pos,1.0
"
Enjoyed our stay, the hospitality, quality of rooms and food. Excellent recreation facilities and value the money.
Staff was very well trained and knew their job well.
Only constraint it does not have lift facility, so if you travel with elderly insists on rooms in the lower floors. Preferable to have your own cab/travel arrangement because taxis outside are not...
",pos,1.0
"
Hello,
We are pleased to inform you that we stayed in your resort at the below dates,
however found it very pleasant specially the below listed staff, they are found to
be very mannered and helpful, however with these people my trip to GOA turned to a
special memory.
Neelu, Sulakshna and Shashank from front desk, Clandon and Captain from...
",pos,0.8
"
Our trip to the rest started in the middle of the week, in the middle of the rainy season. This should clearly be off-season but more on this a bit later.
The arrival and checking in was a breeze. There was help available to get all our baggage (there were eight of us) to the rooms we had. The property...
",pos,0.6
"
Its a value for money resort, you get what you pay. Don't expect anything fancy here, but whatever the basics are, they are good. Nice size rooms, nothing fancy though, good and very well maintained pool, courteous service, must comment that the staff are very warm and very good spa. A massage at their Spa is a must and quite...
",neg,0.8
"
This property has fully air conditioned star hotel grade rooms with very good ambiance. Every room has bottled free drinking water, facility to make coffee/tea. There is a swimming pool and recreational areas. Open area has large TV. Restaurant has one of the best food in town. We paid Rs.650+ taxes per day per person for one buffet dinner and...
",neg,0.8
"
The resort is good but location is not very ideal. As i am member of the streling i m stay with my family from 23rd to25may 15.
Resort has sweeming pool activity room and kids game room.
Restaurant staf is to short . Food is average but morning breakfast is very good. Checkin process is little slow.
Suggest for taking...
",neg,1.0
"
This is a very late review - we visited in July 2014. Nevertheless.The rooms and the services were very good. The guy at travel desk was also very helpful. Everybody from the bell boy to the receptionist were courteous, and our stay was good. The food was expensive but was good. And when our kid started crying at 02:00 in...
",neg,1.0
"
Excellent location, beautiful surroundings, Courteous staff and clean and well maintained suites and rooms extend a warm welcome to every holiday seeker in Sterling Villagio. Sumptuous and tasty food, well maintained swimming pool, poolside bar and activity center are the added attractions. A very big thank you to Mr Bhaskar, Ms Saswathi and their entire team at Villagio for making...
",pos,1.0
"
A very good location in South Goa. Perfect place for a holiday where you can relax and be away from the city noise. Polite Staff. Great rooms and great room service. I was out so did not get a chance for Lunch or Dinner. Had breakfast at the hotel and found the spread to be good but can be improved....
",pos,1.0
"
Hotel is far from corbett but it is a advantage also way creats a different ride of jungle, we enjoyed the way of hotel from Corbet, Hotel Staff is very Nice & Co- oprative,Mr. Bharav & Ms Lalita was very nice,Food quality is good,but it is very expencice,
",pos,1.0
"
Resort was average,location was awesome..Staff is humble and but room service not available.Clean resort with maintained garden but rooms are average.Food quality is not so good.
Place is calm and quite..nearby river and crocodile lake is there and nearby walk to the village can be good if looking for tea and snacks.
",neg,1.0
"
Accommodation is very good, location is nice ,staff is very helpful .Mr Pandey Manager is very co-operative & nice person. Restaurant is very good Food you can have to your taste.Staff in general very good.
",pos,1.0
"
Good Points:Beautiful location and very comfortable accomodation.Staff is very helpful and friendly.Manager Mr.Pandey is a very helpful person. Restraunt has a beautiful view of the river and mountains.Chef cooks whatever you like to eat. Mr Narender, Varender and Ms khushnuma are very prompt and provide good service. Housekeeping is good as well, maintained by Lokesh . Front office staff is...
",pos,1.0
"
We were 7 guy friends and wanted to celebrate our graduation and this place did not disappoint us. Food was cheap, rooms and view was very nice. We stayed here for 3 days and did not move out of resort even for a day as it had everything inside except bar.
",pos,1.0
"
Hotel location was very good but hotel quality specially room interior was poor. Also hotel service was not good. You should prefer Solluna Resort or Ramganga if you want to go to Marchula location...
",neg,1.0
"
We stayed for 3 nights from 10th July 2015 and had a memorable experience. Since the national park is closed due to the monsoon, we didn't have much option other than staying full time at the resort but we enjoyed our stay so much that not a moment of boredom. Rooms are good and spacious, clean and well maintained, clean...
",neg,1.0
"
Small but well located resort , away from the main ramnagar gives advantage of both jungle and hill station and has a river right across and in the valley surrounded by mountains and greenery and gets more beautiful during rainy season
",pos,0.8
"
We stayed at the resort for 4 nights from May 27, 2015. The hotel is virtually 45 minutes drive from any facility, hence you are stuck with what ever is available. We were misguided on booking and told specifically that the resort was 15 minutes drive from Ramnagar.
Cleanliness is very average including linen and the dining room, the food...
",pos,0.8
"
Good resort in the jungle interior & well managed with good rooms & all amenities. Good & courteous staff. Real holiday with almost zero mobile signal. Good food & excellent climate. Would love visiting again & again.
",pos,1.0
"
Location is far from mall. Not meant for all ages of people . place need renovation urgently. Staff is good and view is also nice. Rates are nominal still they can work on packages. Good place from r pics. Stairs take lot of energy.
",neg,1.0
"
we stay in sterling resort for 8 days,its a official tour for mid career training from Bangladesh,location of hotel so nice,all services provided by hotel is okay and standard also,food and room service is so good.we are grateful and sp thanks to sterling team....
",pos,1.0
"
I stayed with my family at sterling Resort Mussoorie. It was one of the best stay i have ever seen. Room allotted to me was really very good with nice view. Staff service was really excellent. Nice food in the Restaurant ...I would mention one name Mr. Praveen in front office really nice chap very helpful. Thanks to him....Wish to...
",pos,1.0
"
I was offered a stay coupon in any sterling resort in their promotional event. I chose Mussoorie Resort as it was nearest to my place.
We reached hotel amid rain and road from down town Mussoorie to resort looked unending . Staff at helpdesk were very helpful and completed the check-in process rather quickly. We were two couples and were...
",neg,1.0
"
I have visited Mussoorie many times but this was an good experience along with my wife and two kids.The resort is a bit on the out side of town but was easily reachable,we were allotted a studio room which was a bit far from the main structure but the room was upto my expectations,with all the necessary amenities and the...
",neg,1.0
"
Excellent stay. First time avail Sterling holidays and it was Great experience. Very healthy atmosphere.. Feel like a Home...Very personal attention of every staff . Warm welcome by Mr. Mukesh in Reception. Little bit i am unhappy because property is in under renovation but staff is very hospitable. There is some problem with mobile networks..View is very nice from the...
",pos,0.8
"
I came here for business meeting stay here for 3 days , i came sterling for the first time , it is very snjoyeble and i visited the places near by it ,it was great fun , enjoyeble evening entertainment was there it was vry nice ,,my specially thanks Mr Alok and Som .
",pos,1.0
"
The experience was exceptional. The staff, rooms ans the overall experience. The food was good. The staff were courteous , frienly and helpful. Special mention has to be made with reference to Mr. Alok. He wad very helpful in arranging our travel requirements. We appreciate the personal touch in his handling of our requirements.
",pos,1.0
"
I am with my family at sterling resort mussourrie first time really enjoyed stay a lot. Nice people at the resort and very hospitable excellent services provided to my family. Thanks to mr alok the dj man and som to make our holiday memorable....wish to come again here with sterling holidays...
",pos,1.0
"
This time i have seen lot of changes in sterling resort mussoorie, people are really good we enjoyed it a lot. Thanks to all sterling team member mussoorie. Rooms are really nice & service of staff is excellent. Food is excellent & nice view from the restaurant. Thanks a lot to all sterling team to make us comfortable here. Special...
",pos,1.0
"
We visited gangtok on 10th December 2014...me & my husband....this was our 3rd visit to Gangtok....since we love the city its like u r away but yet u r home....this time I had booked sterling for the 1st time and it really made me feel that y I hadn't booked with them in my 2 previous visit.... I assure every...
",pos,0.6
"
Very convenient place to stay at Gangtok, very close to main market place M G market which is very romantic place to walk in evening. With no vehicle allowed Street, gives the pleasure of walking and enjoying the market. Good local stuff and lots of restaurants to enjoy food.
Hotel staff is really cooperative and polite.
Food quality is really...
",neg,1.0
"
We had just sone night stay. Location is superb. Just off the main MG road
Staff was polite. Service was good. But had maintenance issues. Carpet in corridors was filthy. Rooms are small. There was problem when water supply. Had to leave hotel without a shower that day! Food was OK.
",neg,0.6
"
Very bad experience staying at this hotel- stayed there for two days and didn't like the place a bit. We stayed at a similar star-rated hotel in Darjeeling and there is no comparison between the two. No way to justify the star rating of this hotel. The staff were in-different and didn't showed even basic courtesy. No attendant during the...
",neg,1.0
"
This is a beautifull sterling resort located at 10 mins walk from M G Road in Gangtok. We stayed for 4 nights in March 15. The resort is nealty maintained and the food is very good with large spread.
Not all the rooms have mountain view, but the rooms are large and spacious. A must visit place for couples and...
",pos,0.8
"
We stayed in this hotel for 3 days and it did not meet our expectations. There is a small geyser in the room and supplies only 1/2 bucket and we need to wait another 20 mins to get another 1/2 bucket or need to call room service to get hot water which is disgusting if we wanted to go out...
",neg,1.0
"
Never seen such a wonderful food & supportive staff. They would go any extent to satisfy you specially in terms of food choice.
We have taken no food outside during our stay.
Its very close to MG road where you can walk.
if you are making advance booking ensure that the room is bigger one.
",pos,1.0
"
Landing into the small and dated Bagdogra airport (IXB) was like a scene out of a 70s Bollywood movies, but the 4 hour 124 km drive to Gangtok takes you eons back in time. A precarious and bone jarring journey on constricted winding mountain roads, with compacts and multi axle trucks zipping about with gay abandon.
Amen for having the...
",neg,0.6
"
A fairly new hotel & nicely done. Our rooms were on -3 floor. Very well done up & large. No view from them tho. Food was good...we unexpectedly came back for lunch from our sightseeing as it was raining, their kitchen had closed down, but they opened it & prepared lunch for us. Provided us heater on request.
Beautiful views...
",pos,1.0
"
Nice location, beautiful hill views. Wifi free but only in the lobby. Hot water only during a short while in the morning and the evening. However, the staff was outstanding. Was sick and noone could have taken better care of me and looked after me better, provided special food etc. Thanks a lot!
",neg,1.0
"
i write this review while sitting in this hotel right now. Nothing is right here.
Location - 12 kms from Mcleodganj and 8 km from Dharamsala town. One feels as if he is in country house somewhere.
Food- absolutely awful. The chef seems to be from some local joint and class is missing completely.
Bathrooms - Even basics are missing....
",neg,1.0
"
Basically it is a Hotel. Neither Resort nor Time share ( no kitchen facility). It is situated in Sidhpur. Location is very good. Stream is just behind the hotel. sound of stream is like a music 24 X 7 !
Front office Manager Mr.Vikas is very co operative and helpful . He has planned for us night camping. It was...
",neg,0.8
"
As we are members we preferred staying here.But this place very far from any given known place. If you do not have your vehicle it is very difficult or rather expensive to move about.The restaurant is clean and chef does make things not listed on the menu.
",neg,1.0
"
Hi
I visited this hotel on 29-05-15.
1. Location: Quite far from dharamshala. And double far away from mcleodganj. As the road is being repaired, we had to go thru villages to reach it. They say it waill take another 10 days so beware. The local ppl have no idea about the hotel. Dnt completely trust ur gps either. The...
",neg,1.0
"
This place is NOT in Dharamshala. Its at Sidhpur as told to us by locals.
The service of everyone in the hotel is good and you can feel it the way they are trying to make their place a better place for the tourists.
The best part about this hotel is the stream that runs behind the hotel... they have...
",pos,1.0
"
I would probably rate this place as a hotel and not a resort as it is not very vast. It is situated next to a river and one can see the beautiful mountains from a distance. The food is really good and the hospitality by the staff is exceptional. Special mention of Mr.Kuldeep from restuarant who took very good care...
",pos,1.0
"
We recently stayed here during our 3 day visit to Dharmasala
being sterling members for 2 decades this property did not have a typical sterling feel to it but it was comfortable
we had a dinner breakfast combo for a couple offer
dinner was a disaster with all dishes tasting same though they had different names we could have been...
",pos,1.0
"
Location: Not in main Dharamshala- Little outer (Good if you have your own vehicle)- View is ok- A small stream of river flowing from the back
Food-Breakfast, Dinner buffet is good with ample options
Staff: Staff on the front desk is helping and responsive-I made a booking for two rooms through booking.com- somehow hotel just received the request for one...
",pos,1.0
"
Right from booking to check out it was a unique experience. Great service with smile. Good and clean rooms. Service is superb. Icing on the cake is their food. The Chef over here is one of the best.The travel desk takes care of your sight seeing. The recreational facility having carrom, TT, Billiards, and other activities organised by the staff...
",pos,1.0
"
I stayed in this hotel for four days in April 2015. It is an excellent place offering three star luxury facilities. The place was quiet clean and the staff was friendly and helpful. The only drawback so to say was it was 10kms away from McLeod Ganj in Dharmshala..
",pos,1.0
"
The best part about Delisso was its location. Waking up to a beautiful view of the snow clad Kanchenjunga from the room was great. If you are the kind of traveler who only cares about a comfortable and not a luxurious stay at the end of a self exploratory day, it is a great place to be. MG road is...
",pos,1.0
"
Except its location, nothing was good about it.
they dont provide shampoo, they dont change linen & towel everyday & worst part is that they only have a very small geyser for each room which supplies only 1/2 bucket of hot water after which you have to wait for another 30 min for another 1/2 bucket of hot water
",neg,1.0
"
It was a fun stay - close to the market, decent hill views, calming Buddhist chants at a lovely all wood decor dining area with nice meals served by pleasant staff members. It's definitely not one of the best properties that Sterling has but its still neat and clean and nice.
",pos,1.0
"
This is a relatively smaller property of sterling as compared to their other locations, but services and rooms were fine. the worst part was food. We are pure veg family from north india, and the food available there was not up to the mark. it was completely tasteless for us, so we had to go out everyday to have our...
",pos,1.0
"
We were in Gangtok for our honeymoon.Very nice hotel .We were in a suite room .The room was fabulous and well equipped.The staff were very good and helpful.Room Service was good.It showed that sterling resorts are really worth staying.Location was good near to to the mall.Everything were Worth money.
",pos,1.0
"
We were there for 4 days, the property is situated very near the mall road.We had a good time and particlarly mr Parto was very much polite . The breakfast was ok nothing great but the staff was very cooperative and on the whole it was a pleasant stay
",neg,1.0
"
Middle of my bath hot water ran out- came out shivering in a towel - called up front desk n was given a bucket of hot water for 2500/night- when explaination was sought -arrogant mr Sumit accused me of consuming all the water n complaining "" just like that"" which in short means I'm a liar-lost my kool as being...
",neg,1.0
"
We had stayed at Sterling Gangtok - Delisso Abode recently. We had a lovely time, thanks to the hospitality of the staff. We have had memorable trips at other Sterling resorts, but this stay at the Delisso Abode tops it.
The staff at Delisso Abode was helpful in guiding us from Bagdogra to the resort as there was a taxi...
",pos,0.8
"
We went for our honeymoon and found it to be good. I specially asked for mountain view room which I got and room was decorated as promised. Complimentary breakfast was also okay. Overall a pleasant stay... :)
",pos,1.0
"
It was truly good experience we the three persons ( male) had. we stayed in room no. 304 on second floor with window facing Kanchenjunga Mountain. There are six rooms having such view. Staff was very good and well behaved. Service was also nice. Restaurant is also nice, only costly thing I found there was ordinary ROTI priced Rs 45/-...
",neg,1.0
"
Good rooms, Mind blowing service in this Resort. I think, Sterling holidays is coming back to good days. But, still the facility needs to be increased like the bathroom amenities, food variety particularly the option of food has to be changed since we have chance of going outside nearby. Staff are very polite and doing great job in the restaurant,...
",pos,1.0
"
This Fernhill Resort was located ideally in Ooty. Have all the fun games which the kids can enjoy it as well as younger too. The food in the restaurant was tasty but little spicy. Rooms which allotted for us was specious, neat and clean.Mr. Vivek form Housekeeping an extra ordinary staff for Fern hill. I strongly recommended to the travelers...
",pos,0.6
"
A good hotel with probably the best view. please take a room with a good view and baclony. the balconies are really good and large. it was really chilly when we went there. however there arent any facilities in the hotel except for TT table. we had the lunch buffet there, approx 800/- but very very nice spread .
",pos,1.0
"
We had a lovely, relaxing vacation at this resort in May. The rooms were great. The weather was just awesome. While the rest of India was sweltering in the heat, the temperature here did not go above 17 degrees Celsius. We even had to ask for heaters in the room because the rains had begun and it got pretty cold...
",neg,0.6
"
This will be a short review for Sterling Holidays...people and friends around me told to stay in Fern hill ooty this time so had stayed with my lovely family. The property was good, Nice garden, fully greenish in front of our room, chill claimate etc...The room was not great but yes surely nice, food was also good. When everything was...
",pos,1.0
"
Sterling BEFORE and NOW has completely changed except that their organisation from TOP to bottom will have to work hard to regain the goodwill lost within so many years...! I would rate Sterling now as similar - better than Mahindra Holidays.
Their Resort Manager- Ooty, Mr. Akash Gupta is highly active and successful in maintaining the SMILING faces on their...
",neg,1.0
"
I heard a lot about the place from my friends, family,,, so I decided to visit the place last summer vacation, sight seeing if ooty is fab,,,like pine forest, pykara lake,pykara falls,suicide point,dodabetta peak and so on,,,but the main city is not very clean place,,abandoned horses from racing arena are roaming here and there,heaps of garbage are frequent,,, please make...
",neg,1.0
"
I would strongly recommend Sterling Ooty Fern Hill. I am from London and we recently had an extended family holiday of 30 + people including kids. Unanimously our family felt that the resort was an ideal location for the entire family- with activities for all age groups- right from grandparents to grandchildren. I would like to make a special mention...
",neg,1.0
"
The staff was extremely pleasant and helpful. The room and the view was great. The breakfast buffet was fabulous. We also enjoyed the evening activities conducted by the hotel staff. If there is one thing I could complain about, it was a minor but noticeable unpleasant smell in the part of the lobby which is close to the wash room.
",pos,1.0
"
Lovely place with a beautiful view and ambiance
Food was spectacular
They did not shy away from the fact that they were overpacked and instead offered us a better room than we had paid for!
Amazing reception and a special mention to Mr Samrat who was not just a good host but a very warm person also...
Food was amazing...
",pos,1.0
"
Rooms are nice and spacious. Changing room with the bathroom. Normal facilities like 32  LED TV, Mini Bar (nothing inside it though), Tea Cofee maker. Tented rooms and AC is reasonably effective. There are other category of rooms also near the reception area. Spread our property with lawns. One can also play cricket on the ground. Swimming pool seems...
",pos,1.0
"
Stay was good. Overall the resort property is nicely located in vicinity of Jungle.
We really enjoyed our stay in the Tent House Rooms.
The property is surrounded with lush green, food in machan restaurant is nice,
Swimming pool is nicely build to accommodate the comfort of kids as well as adults.
The activity area is something i really liked...
",pos,0.8
"
Nice place with peace, and at convenient place. Rooms are good, service needs improvements.
Variety of Food is less but taste is nice. Since we opted for buffet meals, are not aware of room service. Nature at its most
",pos,1.0
"
We had a terrible experience at this hotel. Too many defects / issues:
1. Misleading Picture of Room displayed on Expedia (even today it is incorrectly displayed). We booked a ""Superior Room"" after seeing the picture in Expedia. But after reaching hotel we were told that the room in picture is actually ""Studio Room"", the ""Superior Room"" is much smaller...
",neg,1.0
"
We opted this hotel for our Sariska Tigetr Reserve visit this summer few days back with my family and overall i would rate our stay very good with few minor hickups.
Plus - The location is very good, the rooms are decent, the food was ok (its all buffet no ala carte).
Minus - The room service is not great,...
",pos,1.0
"
This property is a great weekend getaway from Delhi. The room and bathroom are comfortable although not extraordinary. The buffet menu is pretty average. The location is scenic and you are greeted by the occasional peacock and monkey. The property helps plan your tiger safari too.
",pos,1.0
"
The Tiger Heaven resort is situated at 3-4 Hours drive from Delhi which makes it a really nice place for Weekend Getaway. We drove early morning to beat the heat and catch up on evening Safari at Sariska. Tiger Heaven is 5km away from the Safari starting point which makes it a good place to stay if you do plan...
",pos,1.0
